procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 2  0 446024 2542652  82776 401688    2    2    17    25   15    9  8  1 91  0
 1  0 446024 2542716  82776 401800    0    0     0     0  913 6059 32  2 66  0
 1  0 446024 2599156  82780 340008    0    0     2   286  864 4798 26  3 71  0
 2  0 446024 2586524  82792 340112    0    0     0    34  894 2652 22  5 72  0
 1  0 446024 2579744  82792 340236    0    0     0     0  859 2604 23  5 72  0
 1  0 446024 2577964  82792 340360    0    0     0     0  778 2035 21  5 74  0
 1  0 446024 2568064  82800 340472    0    0     0     8  795 2177 22  5 73  0
 1  0 446024 2564864  82800 340592    0    0     0   472  832 1948 23  4 73  0
 1  0 446024 2558840  82800 340692    0    0     0     0  780 1828 22  4 74  0
 1  0 446024 2543124  82808 340796    0    0     0     8  780 1930 22  5 74  0
 1  0 446024 2539612  82808 340916    0    0     0     3  799 1883 21  5 74  0
 0  0 446024 2608120  82808 340968    0    0     0    11  516 2378  8  1 91  0
 0  0 446024 2608120  82820 340956    0    0     2     8  342 2260  1  1 98  0
 0  0 446024 2608120  82820 340968    0    0     0     0  371 2413  1  1 98  0
 0  0 446024 2608120  82820 340968    0    0     0     0  423 2857  2  0 98  0
 0  0 446024 2608120  82828 340960    0    0     0    32  404 2869  2  0 98  0
 0  0 446024 2608160  82828 340968    0    0     0     0  384 2955  2  0 98  0
